Quote,Author
"Take it moment by moment, and you will find that we are all, as I’ve said before, bugs in amber.",Kurt Vonnegut
A human being is spirit. But what is spirit? Spirit is the self. But what is the self? The self is a relation that relates itself to itself or is the relation's relating itself to itself in the relation; the self is not the relation but is the relation's relating itself to itself. ,Søren Kierkegaard
"But there is another sense of the word, of which the fundamental meaning is this: Man is all the time outside of himself.",Jean-Paul Sartre
"The proof that the little prince existed is that he was charming, that he laughed, and that he was looking for a sheep. If anybody wants a sheep, that is a proof that he exists.",Antoine de Saint-Exupéry
I realize today that nothing in the world is more distasteful to a man than to take the path that leads to himself.,Hermann Hesse
"This very heart which is mine will forever remain indefinable to me. Between the certainty I have of my existence and the content I try to give to that assurance, the gap will never be filled. Forever I shall be a stranger to myself.",Albert Camus
Existence is illusory and it is eternal.,Albert Camus
"If you've come into this busy world, live your life and leave.",Sigizmund Krzhizhanovsky
An equilibrium of self and not-self can never be permanently achieved. It can only be faithfully tended created and decreated—and in this work there can be no rest.,Tim Carpenter
Our sense of death is constructed of the things we make from life.,Tim Carpenter
"Being is thus richly, marvelously improbable. And slight. Contingency is the condition not just of our limited human lives, but of the entirety of the universe.",Tim Carpenter
Form is thus the essence of art. Just as form-making is the fundamental activity of us meaning-hungry creatures.,Tim Carpenter
"Memory is the substance of all thought. Anticipation and its gropings, desire, planning, the projection of our hopes, our fears, are the main interior activity of our being.",Tim Carpenter
"Nor can we rely on the self—it is truly unreal, nothing but an incalculable tumult of neural activity, pitched and patched together, a chimera of the brain.",Tim Carpenter
I am not strange to myself and at the same time I am new and,Anne de Marcken
"I say again, out of the sheer joy of being alive: salvation comes through risk—without that, life is not worth living!",Clarice Lispector
"Only the living seem incoherent. Death closes the series of events that constitutes their lives. So we resign ourselves to finding a meaning for them. To refuse them this would amount to accepting that a life, and thus life itself, is absurd.",Édouard Levé
"And Rieux...found it right that at least from time to time, joy should come to reward those who contented themselves with humanity and its poor and terrible love.",Albert Camus
"All being arises from nonbeing, and everything that exists derive from its opposite.",Bohumil Hrabal
"Next time is next time, now is now. ",Wim Wenders
He removes his glasses to beam at the past while managing the lenses of the present. ,Vladimir Nabokov
Nothing in the world is usual today. This is the first morning,Izumi Shikibu
It is the time you have wasted for your rose that makes your rose so important.,Antoine de Saint-Exupéry
"After all, it's only natural that people are born, love each other, and die.",Yukio Mishima
"He is always becoming, and if it were not for the contingency of death, he would never end.",Jean-Paul Sartre
"After all, what can we ever gain in forever looking back and blaming ourselves if our lives have not turned out quite as we might have wished?",Kazuo Ishiguro
There is no delusion more damaging than to get the idea in your head that you understand the functioning of your own brain.,Lewis Thomas
"While we're actually suffering, our human pain seems infinite. But human pain isn't infinite, because nothing human is infinite.",Fernando Pessoa
